Feature,Mean_Absolute_SHAP
car_count,0.14248600490842536
building_ratio,0.11820921425149553
wall_ratio,0.11556795189482823
person_count,0.0712802312865712
vegetation_ratio,0.06965540283952441
road_ratio,0.06886038702641215
sky_ratio,0.06209562577207895
truck_count,0.05645594115898717
